image,x,y
001_0.jpg,1195.4839,1249.7367
001_0.jpg,1126.1614,1252.851
001_0.jpg,1058.2594,1255.746
001_0.jpg,991.6563,1258.6951
001_0.jpg,925.9086,1261.6101
001_0.jpg,861.0946,1264.4557
001_0.jpg,797.27167,1267.2943
001_0.jpg,1705.887,1145.5305
001_0.jpg,1629.1425,1149.3706
001_0.jpg,1553.5713,1153.1809
001_0.jpg,1479.1915,1156.9908
001_0.jpg,1405.9103,1160.6804
001_0.jpg,1333.7323,1164.4897
001_0.jpg,1262.6957,1168.2151
001_0.jpg,1192.6064,1171.8496
001_0.jpg,1124.1974,1175.4434
001_0.jpg,1056.1233,1179.0149
001_0.jpg,989.2048,1182.4861
001_0.jpg,923.466,1186.0128
001_0.jpg,858.66144,1189.3715
001_0.jpg,794.94556,1192.7584
001_0.jpg,1702.4795,1063.2596
001_0.jpg,1625.7899,1067.7847
001_0.jpg,1550.3572,1072.2351
001_0.jpg,1476.0452,1076.7495
001_0.jpg,1402.8732,1081.1115
001_0.jpg,1330.7358,1085.5156
001_0.jpg,1259.7588,1089.8954
001_0.jpg,1189.8767,1094.1233
001_0.jpg,1121.0713,1098.3617
001_0.jpg,1053.316,1102.4147
001_0.jpg,986.60425,1106.4803
001_0.jpg,920.93604,1110.5253
001_0.jpg,856.2146,1114.4808
001_0.jpg,792.52466,1118.396
001_0.jpg,1698.862,981.18414
001_0.jpg,1622.4073,986.3842
001_0.jpg,1547.0656,991.5196
001_0.jpg,1472.8567,996.6707
001_0.jpg,1399.7767,1001.66797
001_0.jpg,1327.822,1006.7116
001_0.jpg,1256.9176,1011.66907
001_0.jpg,1187.1027,1016.4784
001_0.jpg,1118.3964,1021.26117
001_0.jpg,1050.7102,1025.9656
001_0.jpg,984.0909,1030.5854
001_0.jpg,918.5006,1035.2328
001_0.jpg,853.8819,1039.6803
001_0.jpg,790.20825,1044.1508
001_0.jpg,1695.3514,899.16
001_0.jpg,1618.9965,905.05505
001_0.jpg,1543.7637,910.8465
001_0.jpg,1469.6794,916.6477
001_0.jpg,1396.6954,922.2764
001_0.jpg,1324.8226,927.90894
001_0.jpg,1254.073,933.472
001_0.jpg,1184.2948,938.86835
001_0.jpg,1115.7233,944.2781
001_0.jpg,1048.1738,949.53
001_0.jpg,981.57587,954.7939
001_0.jpg,916.0376,959.90643
001_0.jpg,851.55914,964.9737
001_0.jpg,788.09143,969.99774
001_0.jpg,1691.8868,817.31836
001_0.jpg,1615.7238,824.05475
001_0.jpg,1540.423,830.29846
001_0.jpg,1466.445,836.73364
001_0.jpg,1393.6334,842.95544
001_0.jpg,1321.7994,849.1896
001_0.jpg,1251.2195,855.3525
001_0.jpg,1181.5192,861.3559
001_0.jpg,1113.0029,867.35583
001_0.jpg,1045.4739,873.16473
001_0.jpg,979.0517,879.0009
001_0.jpg,913.6255,884.74634
001_0.jpg,849.2253,890.412
001_0.jpg,785.91656,895.9524
001_0.jpg,1688.1931,735.7179
001_0.jpg,1612.2344,742.94714
001_0.jpg,1537.052,749.9747
001_0.jpg,1463.2548,757.02686
001_0.jpg,1390.5016,763.8736
001_0.jpg,1318.8708,770.6938
001_0.jpg,1248.3636,777.45245
001_0.jpg,1178.8044,784.03284
001_0.jpg,1110.3671,790.5715
001_0.jpg,1043.0211,797.0306
001_0.jpg,976.4549,803.35864
001_0.jpg,911.2441,809.6604
001_0.jpg,846.854,815.9112
001_0.jpg,783.7055,822.0097
002_0.jpg,1631.0511,1488.6914
002_0.jpg,1566.088,1487.5516
002_0.jpg,1502.7249,1486.4373
002_0.jpg,1440.5906,1485.3707
002_0.jpg,1379.9507,1484.543
002_0.jpg,1321.1476,1483.6553
002_0.jpg,1263.0981,1482.7864
002_0.jpg,1206.9498,1482.1506
002_0.jpg,1151.5,1481.3342
002_0.jpg,1098.2742,1480.6672
002_0.jpg,1045.1284,1479.9368
002_0.jpg,994.2176,1479.1356
002_0.jpg,943.99536,1478.6499
002_0.jpg,894.8696,1478.0328
002_0.jpg,1629.8337,1403.6456
002_0.jpg,1564.7439,1403.5602
002_0.jpg,1501.3829,1403.5144
002_0.jpg,1439.2285,1403.5421
002_0.jpg,1378.7029,1403.5763
002_0.jpg,1319.7999,1403.799
002_0.jpg,1261.9841,1403.9242
002_0.jpg,1205.7694,1404.1117
